,State,Name,Type,Winning Candidate,Winning Party,Winning Percentage,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Percentage,Runner Up Votes,Margin %,Margin Votes
212,Madhya Pradesh,Rajgarh,OC,Rodmal Nagar,BJP,53,758743,Digvijaya Singh,INC,42,612654,10,146089
213,Madhya Pradesh,Dewas,SC,Mahendra Singh Solanky,BJP,63,928941,Rajendra Radhakishan Malviya,INC,34,503716,28,425225
214,Madhya Pradesh,Ujjain,SC,Anil Firojiya,BJP,62,836104,Mahesh Parmar,INC,34,460244,28,375860
215,Madhya Pradesh,Mandsaur,OC,Sudheer Gupta,BJP,65,945761,Dilip Singh Gurjar,INC,31,445106,34,500655
216,Madhya Pradesh,Ratlam,ST,Anita Nagarsingh Chouhan,BJP,51,795863,Kantilal Bhuria,INC,38,588631,13,207232
217,Madhya Pradesh,Dhar,ST,Savitri Thakur,BJP,55,794449,Radheshyam Muvel,INC,40,575784,15,218665
218,Madhya Pradesh,Indore,OC,Shankar Lalwani,BJP,78,1226751,Sanjay Laxman Solanki,BSP,3,51659,75,1175092
219,Madhya Pradesh,Khargone,ST,Gajendra Singh Patel,BJP,52,819863,Porlal Batha Kharte,INC,43,684845,8,135018
220,Madhya Pradesh,Khandwa,OC,Gyaneswar Patil,BJP,57,862679,Narendra Patel,INC,39,592708,17,269971
221,Madhya Pradesh,Betul,ST,Durga Das Uikey,BJP,60,848236,Ramu Tekam,INC,33,468475,27,379761
222,Maharashtra,Dhule,OC,Bachhav Shobha Dinesh,INC,47,583866,Subhash Bhamre,BJP,47,580035,0,3831
223,Maharashtra,Jalgaon,OC,Smita Wagh,BJP,57,674428,Karan Pawar,SS(UBT),36,422834,21,251594
224,Maharashtra,Raver,OC,Raksha Khadse,BJP,53,630879,Shriram Dayaram Patil,NCP-SP,30,358696,23,272183
225,Maharashtra,Buldhana,OC,Prataprao Ganpatrao Jadhav,SS,31,349867,Narendra Khedekar,SS(UBT),28,320388,2,29479
226,Maharashtra,Akola,OC,Anup Dhotre,BJP,38,457030,Abhay Kashinath Patil,INC,35,416404,3,40626
227,Maharashtra,Amravati,SC,Balwant Baswant Wankhade,INC,44,526271,Navneet Kaur Rana,BJP,43,506540,1,19731
228,Maharashtra,Wardha,OC,Amar Sharadrao Kale,NCP-SP,48,533106,Ramdas Tadas,BJP,41,451458,7,81648
229,Maharashtra,Ramtek,SC,Shyamkumar Barve,INC,48,613025,Raju Deonath Parve,SS,42,536257,6,76768
230,Maharashtra,Nagpur,OC,Nitin Gadkari,BJP,54,655027,Vikas Thakre,INC,42,517424,11,137603
231,Maharashtra,Bhandara-Gondiya,OC,Prashant Yadaorao Padole,INC,47,587413,Sunil Baburao Mendhe,BJP,44,550033,3,37380
232,Maharashtra,Gadchiroli-Chimur,ST,Kirsan Namdeo,INC,52,617792,Ashok Mahadeorao Nete,BJP,40,476096,12,141696
233,Maharashtra,Chandrapur,OC,Pratibha Dhanorkar,INC,57,718410,Sudhir Mungantiwar,BJP,36,458004,20,260406
234,Maharashtra,Yavatmal-Washim,OC,Sanjay Uttamrao Deshmukh,SS(UBT),48,594807,Rajshritai Hemant Patil,SS,40,500334,7,94473
235,Maharashtra,Hingoli,OC,Nagesh Bapurao Patil Ashtikar,SS(UBT),42,492535,Baburao Kadam Kohalikar,SS,33,383933,9,108602
236,Maharashtra,Nanded,OC,Vasantrao Balwantrao Chavan,INC,46,528894,Prataprao Govindrao Chikhalikar,BJP,41,469452,5,59442
237,Maharashtra,Parbhani,OC,Sanjay Jadhav,SS(UBT),45,601343,Mahadev Jankar,RSPS,35,467282,10,134061
238,Maharashtra,Jalna,OC,Kalyan Vaijinathrao Kale,INC,44,607897,Raosaheb Dadarao Danve,BJP,36,497939,8,109958
239,Maharashtra,Aurangabad,OC,Sandipanrao Bhumre,SS,36,476130,Imtiyaz Jaleel,AIMIM,26,341480,10,134650
240,Maharashtra,Dindori,ST,Bhaskar Murlidhar Bhagare,NCP-SP,46,577339,Bharati Pawar,BJP,37,464140,9,113199
241,Maharashtra,Nashik,OC,Rajabhau Waje,SS(UBT),49,616729,Hemant Tukaram Godse,SS,36,454728,13,162001
242,Maharashtra,Palghar,ST,Hemant Vishnu Savara,BJP,43,601244,Bharti Bharat Kamdi,SS(UBT),30,417938,13,183306
243,Maharashtra,Bhiwandi,OC,Suresh Mhatre,NCP-SP,39,499464,Kapil Moreshwar Patil,BJP,34,433343,5,66121
244,Maharashtra,Kalyan,OC,Shrikant Shinde,SS,56,589636,Vaishali Darekar,SS(UBT),36,380492,19,209144
245,Maharashtra,Thane,OC,Naresh Mhaske,SS,56,734231,Rajan Vichare,SS(UBT),39,517220,16,217011
246,Maharashtra,Mumbai North,OC,Piyush Goyal,BJP,65,680146,Bhushan Patil,INC,31,322538,34,357608
247,Maharashtra,Mumbai North West,OC,Ravindra Waikar,SS,47,452644,Amol Kirtikar,SS(UBT),47,452596,0,48
248,Maharashtra,Mumbai North East,OC,Sanjay Dina Patil,SS(UBT),48,450937,Mihir Kotecha,BJP,45,421076,3,29861
249,Maharashtra,Mumbai North Central,OC,Varsha Gaikwad,INC,48,445545,Ujjwal Nikam,BJP,47,429031,1,16514
250,Maharashtra,Mumbai South Central,OC,Anil Desai,SS(UBT),49,395138,Rahul Ramesh Shewale,SS,43,341754,6,53384
251,Maharashtra,Mumbai South,OC,Arvind Sawant,SS(UBT),51,395655,Yamini Jadhav,SS,44,342982,6,52673
252,Maharashtra,Raigad,OC,Sunil Tatkare,NCP,50,508352,Anant Geete,SS(UBT),42,425568,8,82784
253,Maharashtra,Maval,OC,Shrirang Barne,SS,48,692832,Sanjog Bhiku Waghere Patil,SS(UBT),42,596217,7,96615
254,Maharashtra,Pune,OC,Murlidhar Mohol,BJP,52,584728,Ravindra Hemraj Dhangekar,INC,41,461690,11,123038
255,Maharashtra,Baramati,OC,Supriya Sule,NCP-SP,51,732312,Sunetra Pawar,NCP,40,573979,11,158333
256,Maharashtra,Shirur,OC,Amol Kolhe,NCP-SP,50,698692,Shivajirao Adhalarao Patil,NCP,40,557741,10,140951
257,Maharashtra,Ahmednagar,OC,Nilesh Dnyandev Lanke,NCP-SP,47,624797,Sujay Vikhe Patil,BJP,44,595868,2,28929
258,Maharashtra,Shirdi,SC,Bhausaheb Rajaram Wakchaure,SS(UBT),45,476900,Sadashiv Lokhande,SS,40,426371,4,50529
259,Maharashtra,Beed,OC,Bajrang Manohar Sonwane,NCP-SP,44,683950,Pankaja Munde,BJP,44,677397,0,6553
260,Maharashtra,Osmanabad,OC,Omprakash Rajenimbalkar,SS(UBT),58,748752,Archana Patil,NCP,32,418906,25,329846
261,Maharashtra,Latur,SC,Kalge Shivaji Bandappa,INC,49,609021,Sudhakar Tukaram Shrangare,BJP,44,547140,4,61881
262,Maharashtra,Solapur,SC,Praniti Shinde,INC,51,620225,Ram Satpute,BJP,45,546028,6,74197
263,Maharashtra,Madha,OC,Dhairyasheel Patil,NCP-SP,48,622213,Ranjit Naik-Nimbalkar,BJP,39,501376,9,120837
264,Maharashtra,Sangli,OC,Vishal Prakashbapu Patil,Independent,48,571666,Sanjay Patil,BJP,40,471613,8,100053
265,Maharashtra,Satara,OC,Shrimant Chhatrapati Udayanraje Pratapsinhmaharaj Bhonsle,BJP,47,571134,Shashikant Shinde,NCP-SP,44,538363,2,32771
266,Maharashtra,Ratnagiri-Sindhudurg,OC,Narayan Rane,BJP,49,448514,Vinayak Raut,SS(UBT),43,400656,5,47858
267,Maharashtra,Kolhapur,OC,Chhatrapati Shahuji Maharaj,INC,54,754522,Sanjay Mandlik,SS,43,599558,11,154964
268,Maharashtra,Hatkanangle,OC,Dhairyasheel Sambhajirao Mane,SS,40,520190,Satyajeet Patil,SS(UBT),39,506764,1,13426
269,Manipur,Outer Manipur,ST,Alfred Kan-Ngam Arthur,INC,48,384954,Kachui Timothy Zimik,NPF,37,299536,11,85418
270,Meghalaya,Tura,ST,Saleng A. Sangma,INC,56,383919,Agatha Sangma,NPP,33,228678,23,155241
271,Odisha,Sundargarh,ST,Jual Oram,BJP,42,494282,Dilip Kumar Tirkey,BJD,30,355474,12,138808
272,Odisha,Sambalpur,OC,Dharmendra Pradhan,BJP,49,592162,Pranab Prakash Das,BJD,39,472326,10,119836
273,Odisha,Keonjhar,ST,Ananta Nayak,BJP,45,573923,Dhanurjaya Sidu,BJD,37,476881,7,97042
274,Odisha,Mayurbhanj,ST,Naba Charan Majhi,BJP,49,585971,Sudam Marndi,BJD,31,366637,18,219334
275,Odisha,Balasore,OC,Pratap Chandra Sarangi,BJP,45,563865,Lekhasri Samantsinghar,BJD,33,416709,11,147156
276,Odisha,Bhadrak,SC,Avimanyu Sethi,BJP,44,573319,Manjulata Mandal,BJD,37,481775,7,91544
277,Odisha,Jajpur,SC,Rabindra Narayan Behera,BJP,46,534239,Sarmistha Sethi,BJD,45,532652,0,1587
278,Odisha,Dhenkanal,OC,Rudra Narayan Pany,BJP,50,598721,Abinash Samal,BJD,43,522154,6,76567
279,Odisha,Bolangir,OC,Sangeeta Kumari Singh Deo,BJP,44,617744,Surendra Singh Bhoi,BJD,34,485080,9,132664
280,Odisha,Kalahandi,OC,Malvika Devi,BJP,40,544303,Lambodar Nial,BJD,30,410490,10,133813
281,Odisha,Nabarangpur,ST,Balabhadra Majhi,BJP,38,481396,Pradeep Kumar Majhi,BJD,31,393860,7,87536
282,Odisha,Kandhamal,OC,Sukanta Kumar Panigrahi,BJP,41,416415,Achyutananda Samanta,BJD,39,395044,2,21371
283,Odisha,Cuttack,OC,Bhartruhari Mahtab,BJP,47,531601,Santrupt Misra,BJD,42,474524,5,57077
284,Odisha,Kendrapara,OC,Baijayant Panda,BJP,48,615705,Anshuman Mohanty,BJD,43,549169,5,66536
285,Odisha,Jagatsinghpur,SC,Bibhu Prasad Tarai,BJP,45,589093,Rajashree Mallick,BJD,42,548397,3,40696
286,Odisha,Puri,OC,Sambit Patra,BJP,52,629330,Arup Patnaik,BJD,43,524621,8,104709
287,Odisha,Bhubaneswar,OC,Aparajita Sarangi,BJP,47,512519,Manmath Kumar Routray,BJD,44,477367,3,35152
288,Odisha,Aska,OC,Anita Subhadarshini,BJP,48,494226,Ranjita Sahu,BJD,38,394252,9,99974
289,Odisha,Berhampur,OC,Pradeep Kumar Panigrahy,BJP,49,513102,Bhrugu Baxipatra,BJD,33,347626,15,165476
290,Odisha,Koraput,ST,Saptagiri Sankar Ulaka,INC,41,471393,Kausalya Hikaka,BJD,28,323649,12,147744
291,Punjab,Amritsar,OC,Gurjeet Singh Aujla,INC,28,255181,Kuldeep Singh Dhaliwal,AAP,23,214880,4,40301
292,Punjab,Khadoor Sahib,OC,Amritpal Singh,Independent,38,404430,Kulbir Singh Zira,INC,19,207310,18,197120
293,Punjab,Jalandhar,SC,Charanjit Singh Channi,INC,39,390053,Sushil Kumar Rinku,BJP,21,214060,17,175993
294,Punjab,Hoshiarpur,SC,Raj Kumar Chabbewal,AAP,32,303859,Yamini Gomar,INC,27,259748,4,44111
295,Punjab,Anandpur Sahib,OC,Malvinder Singh Kang,AAP,29,313217,Vijay Inder Singla,INC,28,302371,1,10846
296,Punjab,Ludhiana,OC,Amrinder Singh Raja Warring,INC,30,322224,Ravneet Singh Bittu,BJP,28,301282,1,20942
297,Punjab,Fatehgarh Sahib,SC,Amar Singh,INC,34,332591,Gurpreet Singh GP,AAP,30,298389,3,34202
298,Punjab,Faridkot,SC,Sarabjeet Singh Khalsa,Independent,29,298062,Karamjit Anmol,AAP,22,228009,6,70053
299,Punjab,Ferozpur,OC,Sher Singh Ghubaya,INC,23,266626,Jagdeep Singh Kaka Brar,AAP,23,263384,0,3242
300,Punjab,Bathinda,OC,Harsimrat Kaur Badal,SAD,32,376558,Gurmeet Singh Khuddian,AAP,28,326902,4,49656
301,Punjab,Sangrur,OC,Gurmeet Singh Meet Hayer,AAP,36,364085,Sukhpal Singh Khaira,INC,18,191525,17,172560
302,Punjab,Patiala,OC,Dharamvira Gandhi,INC,26,305616,Balbir Singh,AAP,25,290785,1,14831
303,Rajasthan,Bikaner,SC,Arjun Ram Meghwal,BJP,50,566737,Govind Ram Meghwal,INC,45,511026,5,55711
304,Rajasthan,Churu,OC,Rahul Kaswan,INC,51,728211,Devendra Jhajharia,BJP,46,655474,5,72737
305,Rajasthan,Jhunjhunu,OC,Brijendra Singh Ola,INC,49,553168,Shubhkaran Choudhary,BJP,47,534933,1,18235
306,Rajasthan,Sikar,OC,Amra Ram,CPI(M),50,659300,Sumedhanand Saraswati,BJP,45,586404,5,72896
307,Rajasthan,Jaipur Rural,OC,Rao Rajendra Singh,BJP,48,617877,Anil Chopra,INC,48,616262,0,1615
308,Rajasthan,Jaipur,OC,Manju Sharma,BJP,60,886850,Pratap Singh Khachariyawas,INC,37,555083,22,331767
309,Rajasthan,Alwar,OC,Bhupender Yadav,BJP,50,631992,Lalit Yadav,INC,46,583710,3,48282
310,Rajasthan,Bharatpur,SC,Sanjana Jatav,INC,51,579890,Ramswaroop Koli,BJP,46,527907,4,51983
311,Rajasthan,Karauli–Dholpur,SC,Bhajan Lal Jatav,INC,53,530011,Indu Devi,BJP,43,431066,10,98945
312,Rajasthan,Dausa,ST,Murari Lal Meena,INC,60,646266,Kanhaiya Lal Meena,BJP,38,408926,22,237340
313,Rajasthan,Tonk–Sawai Madhopur,OC,Harish Chandra Meena,INC,50,623763,Sukhbir Singh Jaunapuria,BJP,45,558814,5,64949
314,Rajasthan,Ajmer,OC,Bhagirath Choudhary,BJP,62,747462,Ramchandra Choudhary,INC,34,417471,27,329991
315,Rajasthan,Nagaur,OC,Hanuman Beniwal,RLP,48,596955,Jyoti Mirdha,BJP,44,554730,3,42225
316,Rajasthan,Pali,OC,P. P. Chaudhary,BJP,55,757389,Sangeeta Beniwal,INC,37,512038,18,245351
317,Rajasthan,Jodhpur,OC,Gajendra Singh Shekhawat,BJP,52,730056,Karan Singh Unchiyarda,INC,44,614379,8,115677
318,Rajasthan,Barmer,OC,Ummeda Ram Beniwal,INC,41,704676,Ravindra Singh Bhati,Independent,34,586500,7,118176
319,Rajasthan,Jalore,SC,Lumbaram Choudhary,BJP,54,796783,Vaibhav Gehlot,INC,41,595240,13,201543
320,Rajasthan,Udaipur,ST,Manna Lal Rawat,BJP,49,738286,Tarachand Meena,INC,31,476678,17,261608
321,Rajasthan,Banswara,ST,Rajkumar Roat,BAP,50,820831,Mahendrajeet Singh Malviya,BJP,35,573777,15,247054
322,Rajasthan,Chittorgarh,OC,Chandra Prakash Joshi,BJP,59,888202,Udailal Anjana,INC,33,498325,26,389877
323,Rajasthan,Rajsamand,OC,Mahima Kumari Mewar,BJP,64,781203,Damodar Gurjar,INC,32,388980,32,392223
324,Rajasthan,Bhilwara,OC,Damodar Agarwal,BJP,61,807640,C. P. Joshi,INC,34,453034,27,354606
325,Rajasthan,Kota,OC,Om Birla,BJP,50,750496,Prahlad Gunjal,INC,47,708522,2,41974
326,Rajasthan,Jhalawar–Baran,OC,Dushyant Singh,BJP,60,865376,Urmila Jain,INC,34,494387,26,370989
327,Tamil Nadu,Chennai North,OC,Kalanidhi Veeraswamy,DMK,55,497333,R. Manohar,AIADMK,17,158111,37,339222
328,Tamil Nadu,Chennai South,OC,Thamizhachi Thangapandian,DMK,47,516628,Tamilisai Soundararajan,BJP,26,290683,20,225945
329,Tamil Nadu,Chennai Central,OC,Dayanidhi Maran,DMK,56,413848,Vinoj,BJP,23,169159,33,244689
330,Tamil Nadu,Sriperumbudur,OC,T. R. Baalu,DMK,52,758611,G. Premkumar,AIADMK,18,271582,33,487029
331,Tamil Nadu,Kancheepuram,SC,G. Selvam,DMK,46,586044,Rajasekar E.,AIADMK,28,364571,17,221473
332,Tamil Nadu,Arakkonam,SC,S. Jagathrakshakan,DMK,48,563216,L. Vijayan,AIADMK,22,256657,26,306559
333,Tamil Nadu,Vellore,SC,Kathir Anand,DMK,50,568692,A. C. Shanmugam,BJP,31,352990,19,215702
334,Tamil Nadu,Krishnagiri,OC,K. Gopinath,INC,42,492883,V. Jayaprakash,AIADMK,25,300397,16,192486
335,Tamil Nadu,Dharmapuri,OC,A. Mani,DMK,34,432667,Sowmiya Anbumani,PMK,32,411367,1,21300
336,Tamil Nadu,Tiruvannamalai,OC,C. N. Annadurai,DMK,47,547379,M. Kaliyaperumal,AIADMK,27,313448,20,233931
337,Tamil Nadu,Arani,OC,M.S. Tharanivendhan,DMK,43,500099,G. V. Gajendran,AIADMK,25,291333,18,208766
338,Tamil Nadu,Villupuram,OC,D. Ravikumar,VCK,41,477033,J. Bhagyaraj,AIADMK,35,406330,6,70703
339,Tamil Nadu,Kallakurichi,OC,Malaiyarasan D,DMK,44,561589,R. Kumaraguru,AIADMK,40,507805,4,53784
340,Tamil Nadu,Salem,OC,T. M. Selvaganapathi,DMK,43,566085,P. Vignesh,AIADMK,37,495728,5,70357
341,Tamil Nadu,Namakkal,OC,V. S. Matheswaran,DMK,40,462036,S. Tamilmani,AIADMK,37,432924,2,29112
342,Tamil Nadu,Erode,OC,K. E. Prakash,DMK,51,562339,Ashok Kumar,AIADMK,29,325773,21,236566
343,Tamil Nadu,Tiruppur,OC,K. Subbarayan,CPI,41,472739,P. Arunachalam,AIADMK,30,346811,11,125928
344,Tamil Nadu,Nilgiris,OC,A. Raja,DMK,46,473212,L. Murugan,BJP,22,232627,23,240585
345,Tamil Nadu,Coimbatore,OC,Ganapathi P. Rajkumar,DMK,41,568200,K. Annamalai [ta],BJP,32,450132,8,118068
346,Tamil Nadu,Pollachi,OC,Eswarasamy,DMK,47,533377,A. Karthikeyan,AIADMK,24,281335,22,252042
347,Tamil Nadu,Dindigul,OC,R. Sachidanandam,CPI(M),58,670149,M. A. Mohamed Mubarak,AIADMK,19,226328,38,443821
348,Tamil Nadu,Karur,OC,Jothimani,INC,47,534906,L. Thangavel,AIADMK,32,368090,14,166816
349,Tamil Nadu,Tiruchirappalli,OC,Durai Vaiko,MDMK,51,542213,P. Karuppaiah,AIADMK,21,229119,29,313094
350,Tamil Nadu,Perambalur,OC,Arun Nehru,DMK,53,603209,N. D. Chandramohan,AIADMK,18,214102,34,389107
351,Tamil Nadu,Cuddalore,OC,M. K. Vishnu Prasad,INC,44,455053,P. Sivakozhundu,DMDK,26,269157,18,185896
352,Tamil Nadu,Chidambaram,SC,Thol. Thirumavalavan,VCK,43,505084,M. Chandrahasan,AIADMK,34,401530,8,103554
353,Tamil Nadu,Mayiladuthurai,OC,Sudha Ramakrishnan,INC,47,518459,P. Babu,AIADMK,22,247276,24,271183
354,Tamil Nadu,Nagapattinam,SC,V. Selvaraj,CPI,47,465044,G. Sursith Sankar,AIADMK,26,256087,21,208957
355,Tamil Nadu,Thanjavur,SC,S. Murasoli,DMK,48,502245,P. Sivanesan,DMDK,17,182662,31,319583
356,Tamil Nadu,Sivaganga,OC,Karti Chidambaram,INC,40,427677,A. Xavierdass,AIADMK,21,222013,19,205664
357,Tamil Nadu,Madurai,OC,S. Venkatesan,CPI(M),43,430323,Raama Sreenivasan,BJP,22,220914,21,209409
358,Tamil Nadu,Theni,OC,Thanga Tamil Selvan,DMK,50,571493,T. T. V. Dhinakaran,AMMK,25,292668,24,278825
359,Tamil Nadu,Virudhunagar,OC,Manickam Tagore,INC,36,385256,V. Vijayaprabhakaran,DMDK,35,380877,0,4379
360,Tamil Nadu,Ramanathapuram,OC,Kani K. Navas,IUML,45,509664,O. Paneerselvam,Independent,30,342882,15,166782
361,Tamil Nadu,Thoothukudi,OC,Kanimozhi,DMK,55,540729,R. Velumany Sivasamy,AIADMK,15,147991,40,392738
362,Tamil Nadu,Tenkasi,OC,Rani Srikumar,DMK,40,425679,K. Krishnasamy,AIADMK,22,229480,18,196199
363,Tamil Nadu,Tirunelveli,OC,C. Robert Bruce,INC,47,502296,Nainar Nagenthran,BJP,31,336676,15,165620
364,Tamil Nadu,Kanniyakumari,OC,Vijay Vasanth,INC,53,546248,Pon Radhakrishnan,BJP,35,366341,17,179907
365,Telangana,Peddapalli,SC,Vamsi Krishna Gaddam,INC,43,475587,Srinivas Gomase,BJP,31,344223,11,131364
366,Telangana,Karimnagar,OC,Bandi Sanjay Kumar,BJP,44,585116,Velchala Rajender Rao,INC,27,359907,17,225209
367,Telangana,Nizamabad,OC,Arvind Dharmapuri,BJP,48,592318,T. Jeevan Reddy,INC,39,483077,8,109241
368,Telangana,Zahirabad,OC,Suresh Kumar Shetkar,INC,42,528418,B. B. Patil,BJP,39,482230,3,46188
369,Telangana,Medak,OC,Raghunandan Rao,BJP,33,471217,Neelam Madhu,INC,31,432078,2,39139
370,Telangana,Malkajgiri,OC,Etela Rajender,BJP,51,991042,Patnam Suneetha Mahender Reddy,INC,31,599567,20,391475
371,Telangana,Secunderabad,OC,G. Kishan Reddy,BJP,45,473012,Danam Nagender,INC,40,423068,4,49944
372,Telangana,Hyderabad,OC,Asaduddin Owaisi,AIMIM,61,661981,Kompella Madhavi Latha,BJP,29,323894,31,338087
373,Telangana,Chevella,OC,Konda Vishweshwar Reddy,BJP,48,809882,G. Ranjith Reddy,INC,38,636985,10,172897
374,Telangana,Mahbubnagar,OC,D. K. Aruna,BJP,41,510747,Challa Vamshi Chand Reddy,INC,41,506247,0,4500
375,Telangana,Nagarkurnool,SC,Mallu Ravi,INC,38,465072,Bharath Prasad Pothuganti,BJP,30,370658,7,94414
376,Telangana,Nalgonda,OC,Kunduru Raghuveer,INC,60,784337,Shanampudi Saidireddy,BJP,17,224432,43,559905
377,Telangana,Bhongir,OC,Chamala Kiran Kumar Reddy,INC,44,629143,Boora Narsaiah Goud,BJP,29,406973,15,222170
378,Telangana,Warangal,SC,Kadiyam Kavya,INC,45,581294,Aroori Ramesh,BJP,28,360955,17,220339
379,Telangana,Mahabubabad,ST,Balram Naik Porika,INC,55,612774,Kavitha Maloth,BRS,23,263609,31,349165
380,Telangana,Khammam,OC,Ramasahayam Raghuram Reddy,INC,61,766929,Nama Nageswara Rao,BRS,23,299082,37,467847
381,Tripura,Tripura East,ST,Kriti Devi Debbarman,BJP,68,777447,Rajendra Reang,CPI(M),25,290628,42,486819
382,Uttar Pradesh,Kairana,OC,Iqra Choudhary,SP,48,528013,Pradeep Choudhary,BJP,42,458897,6,69116
383,Uttar Pradesh,Muzaffarnagar,OC,Harendra Singh Malik,SP,43,470721,Sanjeev Kumar Balyan,BJP,41,446049,2,24672
384,Uttar Pradesh,Bijnor,OC,Chandan Chauhan,RLD,39,404493,Deepak,SP,35,366985,3,37508
385,Uttar Pradesh,Nagina,SC,Chandrashekhar,ASP(KR),51,512552,Om Kumar,BJP,36,361079,15,151473
386,Uttar Pradesh,Moradabad,OC,Ruchi Vira,SP,49,637363,Kunwar Sarvesh Kumar Singh,BJP,41,531601,8,105762
387,Uttar Pradesh,Rampur,OC,Mohibbullah,SP,49,481503,Ghanshyam Singh Lodhi,BJP,40,394069,9,87434
388,Uttar Pradesh,Sambhal,OC,Zia ur Rahman Barq,SP,47,571161,Parmeshwar Lal Saini,BJP,37,449667,10,121494
389,Uttar Pradesh,Amroha,OC,Kanwar Singh Tanwar,BJP,42,476506,Kunwar Danish Ali,INC,40,447836,2,28670
390,Uttar Pradesh,Meerut,OC,Arun Govil,BJP,46,546469,Sunita Verma,SP,45,535884,0,10585
391,Uttar Pradesh,Baghpat,OC,Rajkumar Sangwan,RLD,52,488967,Amarpal Sharma,SP,35,329508,17,159459
392,Uttar Pradesh,Ghaziabad,OC,Atul Garg,BJP,58,854170,Dolly Sharma,INC,35,517205,22,336965
393,Uttar Pradesh,Gautam Buddh Nagar,OC,Mahesh Sharma,BJP,59,857829,Mahendra Singh Nagar,SP,20,298357,38,559472
394,Uttar Pradesh,Bulandshahr,SC,Bhola Singh,BJP,56,597310,Shivram,INC,30,322176,26,275134
395,Uttar Pradesh,Aligarh,OC,Satish Kumar Gautam,BJP,44,501834,Bijendra Singh,SP,42,486187,1,15647
396,Uttar Pradesh,Hathras,SC,Anoop Pradhan,BJP,51,554746,Jasveer Valmiki,SP,28,307428,22,247318
397,Uttar Pradesh,Mathura,OC,Hema Malini,BJP,53,510064,Mukesh Dhangar,INC,22,216657,30,293407
398,Uttar Pradesh,Agra,SC,S. P. Singh Baghel,BJP,53,599397,Suresh Chand Kardam,SP,29,328103,24,271294
399,Uttar Pradesh,Fatehpur Sikri,OC,Rajkumar Chahar,BJP,43,445657,Ramnath Singh Sikarwar,INC,38,402252,4,43405
400,Uttar Pradesh,Firozabad,OC,Akshay Yadav,SP,49,543037,Vishwadeep Singh,BJP,40,453725,8,89312
401,Uttar Pradesh,Mainpuri,OC,Dimple Yadav,SP,56,598526,Jaiveer Singh,BJP,35,376887,21,221639
402,Uttar Pradesh,Etah,OC,Devesh Shakya,SP,47,475808,Rajveer Singh,BJP,44,447756,2,28052
403,Uttar Pradesh,Badaun,OC,Aditya Yadav,SP,45,501855,Durvijay Singh Shakya,BJP,42,466864,3,34991
404,Uttar Pradesh,Aonla,OC,Neeraj Maurya,SP,45,492515,Dharmendra Kashyap,BJP,43,476546,1,15969
405,Uttar Pradesh,Bareilly,OC,Chhatrapal Singh Gangwar,BJP,50,567127,Praveen Singh Aron,SP,47,532323,3,34804
406,Uttar Pradesh,Pilibhit,OC,Jitin Prasad,BJP,52,607158,Bhagwat Saran Gangwar,SP,38,442223,14,164935
407,Uttar Pradesh,Shahjahanpur,SC,Arun Kumar Sagar,BJP,47,592718,Jyotsna Gond,SP,43,537339,4,55379
408,Uttar Pradesh,Kheri,OC,Utkarsh Verma,SP,45,557365,Ajay Mishra Teni,BJP,43,523036,2,34329
409,Uttar Pradesh,Dhaurahra,OC,Anand Bhadauriya,SP,39,443743,Rekha Verma,BJP,39,439294,0,4449
410,Uttar Pradesh,Sitapur,OC,Rakesh Rathore,INC,48,531138,Rajesh Verma (politician),BJP,40,441497,8,89641
411,Uttar Pradesh,Hardoi,SC,Jai Prakash,BJP,44,486798,Usha Verma,SP,41,458942,2,27856
412,Uttar Pradesh,Misrikh,SC,Ashok Kumar Rawat,BJP,45,475016,Sangita Rajvanshi,SP,41,441610,3,33406
413,Uttar Pradesh,Unnao,OC,Sakshi Maharaj,BJP,47,616133,Annu Tandon,SP,44,580315,2,35818
414,Uttar Pradesh,Mohanlalganj,SC,R. K. Chaudhary,SP,48,667869,Kaushal Kishore,BJP,43,597577,5,70292
415,Uttar Pradesh,Lucknow,OC,Rajnath Singh,BJP,53,612709,Ravidas Mehrotra,SP,42,477550,11,135159
416,Uttar Pradesh,Rae Bareli,OC,Rahul Gandhi,INC,66,687649,Dinesh Pratap Singh,BJP,28,297619,37,390030
417,Uttar Pradesh,Amethi,OC,Kishori Lal Sharma,INC,54,539228,Smriti Irani,BJP,37,372032,17,167196
418,Uttar Pradesh,Sultanpur,OC,Rambhual Nishad,SP,43,444330,Maneka Gandhi,BJP,38,401156,4,43174
419,Uttar Pradesh,Pratapgarh,OC,Shiv Pal Singh Patel,SP,46,441932,Sangam Lal Gupta,BJP,39,375726,6,66206
420,Uttar Pradesh,Farrukhabad,OC,Mukesh Rajput,BJP,47,487963,Naval Kishore Shakya,SP,46,485285,0,2678
421,Uttar Pradesh,Etawah,SC,Jitendra Kumar Dohare,SP,47,490747,Ram Shankar Katheria,BJP,41,432328,5,58419
422,Uttar Pradesh,Kannauj,OC,Akhilesh Yadav,SP,52,642292,Subrat Pathak,BJP,38,471370,14,170922
423,Uttar Pradesh,Kanpur Urban,OC,Ramesh Awasthi,BJP,49,443055,Alok Mishra,INC,47,422087,2,20968
424,Uttar Pradesh,Akbarpur,OC,Devendra Singh,BJP,47,517423,Raja Ram Pal,SP,43,473078,4,44345
